YEAR,GIS_ACRES
2016,1000.718
2016,7606.026
2016,12713.62
2016,104.2135
2016,1244.5
2016,225.5222
2016,330.9144
2016,465.1825
2016,515.6979
2016,1563.429
2016,320.7015
2016,930.5065
2016,340.5402
2016,447.9559
2016,283.9547
2016,171.1181
2016,1546.701
2016,152.6466
2016,5730.075
2016,3928.03
2016,161.3491
2016,46233.92
2016,739.5639
2016,142.63
2016,107.7305
2016,541.0963
2016,132.4675
2016,288.712
2016,131.1804
2016,187.9641
2016,2820.48
2016,166.4396
2016,2241.011
2016,6790.293
2016,157.3922
2016,189.8905
2016,3856.602
2016,225.0632
2016,104.7752
2016,132104.3
2016,105.8172
2016,465.7808
2016,850.8893
2016,101.4958
2016,709.8526
2016,607.4457
2016,155.1552
2016,389.029
2016,315.7604
2016,379.6225
2016,2573.955
2016,1323.627
2016,698.7193
2016,48008.35
2016,303.7996
2016,229.7579
2016,266.2381
2016,2000.119
2016,118.9174
2016,139.9618
2016,1458.703
2016,101.3506
2016,1246.319
2016,372.9369
2016,2822.047
2016,248.3702
2016,8110.855
2016,36266.7
2016,1704.502
2016,5644.68
2016,641.2314
2016,5461.392
2016,123.2366
2016,109.7021
2016,29100.56
2016,387.5226
2016,4346.275
2016,2614.712
2016,2767.803
2016,149.4954
2016,184.5866
2016,649.8756
2016,175.3267
2016,155.913
2016,1146.539
2016,4245.794
2016,41382.86
2016,100.0661
2016,146.0501
2016,2522.639
2016,7465.751
2016,32580.44
2016,2300.255
2016,133.148
2016,2512.539
2016,796.3287
2016,2099.057
2016,33011.44
2016,2857.175
2016,178.447
2016,101.0175
2016,4474.124
2016,123.9659
2016,209.5521
2016,371.6552
